node,baseMultiaddr
0x7cafae40005df7c759de08e88599852be15ce44c,/ip4/75.119.141.185/tcp/9091
0x4529c70c711b014f9e6f537812d4c30dc12fc2d3,/ip4/5.22.218.89/tcp/9091
0x6c6cac75f96097bddf76b725ce3450883b8f66e7,/ip4/95.217.118.232/tcp/9091
0x098c33a07281bfbb9010b22ea16e0500789fc6c3,/dns4/srv20.mikr.us/tcp/40173
0xbe70ec1397ba69fee4f152038d9dd42acaa60691,/ip4/95.217.215.176/tcp/9091
0x0aa6189f7a9ccd0750c42098af4d6f63ea1b176d,/ip4/199.175.98.67/tcp/9091
0xa9ea78b6b1cce92501a67ec624e19efead9be2e4,/ip4/82.223.43.162/tcp/9091
0xf8293cc66a993e525217fd09e101bf3eeb9a009a,/ip4/149.51.211.233/tcp/9091
0xec5d2f6fc9d9b11c2566bb0519291ce380c63439,/ip4/178.18.254.178/tcp/9091
0xcb1f29d6fafe7cafac27d6d9ffb6ae53b63d361b,/ip4/95.217.219.5/tcp/9091
0xa996eb759d44c8e2ea2de764ae031231678fe8b0,/ip4/135.181.207.43/tcp/9091
0xc65525f2af82eb3d0a5acbb54b3f7771860f61e0,/ip4/31.165.67.252/tcp/9091
0x7c4a5ccde0a3137043c16355026e41f4d1ca09c0,/ip4/38.242.218.48/tcp/9091
0x5365b4e5af1221c10539e5b9e05a54bfe17d1eed,/ip4/195.239.181.116/tcp/9091
0xabe9e59b681ab5a57438ba13b143370ef4e3bfdc,/ip4/65.108.216.137/tcp/9091
0x74e6fa7bd04650456a1b1ca520ec927c99e93f18,/ip4/161.97.138.202/tcp/9091
0xc3042db23326a776db4bc1b06454b63d5ca84ffc,/ip4/95.217.185.1/tcp/9091
0xa4bd33428787d07c8c5d8c0db552c19e08a53b87,/ip4/205.209.121.110/tcp/9091
0x09b19bb44457f41b32bcb9cc17bdda623b41449e,/ip4/31.220.80.119/tcp/9091
0x731e302f0708f1cefa824cc3d5e91eed033337a8,/ip4/23.245.75.54/tcp/9091
0xa7bd8eb8922af63ba8cd0a0107dc06edc34f6bc6,/ip4/161.97.139.138/tcp/9091
0x7cc8f13d4c28b0a1af3611ef85ff3e1c803b6b29,/ip4/46.196.73.150/tcp/9091
0xa58ec9903621fba94dedeac55ff8ff3a3362874d,/ip4/157.90.145.239/tcp/9091
0x15fb25105dfee57d4fb144dac044048f41dcca2a,/ip4/5.75.231.24/tcp/9091
0xfbcee655f691eebc1f72706219afc9a3ab7a7584,/ip4/88.217.142.242/tcp/49105
0xece0250a52b30526d3ee1bb9e1c6304cd07d1039,/ip4/194.180.176.18/tcp/9091
0x5bca3f6f43c859f4d96eef95a46ea5419aadf282,/ip4/146.0.191.119/tcp/9091
0x6c95eebeaa1c9637f9af6c55bf9ff0e414fee705,/ip4/161.97.65.199/tcp/9091
0x0bb1f333d1ea571733689d9a6521d467cd5a984e,/ip4/78.47.203.238/tcp/9091
0x5325e6a49d06ded5a28d8600ba00655a54e3c7d9,/ip4/35.242.216.67/tcp/9008
0x11d7d64cf1cf0984bfaf52274696c511d5742594,/ip4/34.90.249.250/tcp/9091
0x381bc02e2c3619d9ecb7c028a30f979583ce62ef,/ip4/31.17.15.128/tcp/9091
0xf7adb6cd145c846c3805dc2cd57f1ca6a1800803,/ip4/159.69.50.196/tcp/9091
0x6d17f831ae4510a7ddf9c1e46c4e30f1deb2b094,/ip4/149.51.211.229/tcp/9091
0x17634ef93ca8f133a9200fb90ef469fd8d546fd0,/ip4/45.128.3.158/tcp/9091
0x4b222d4f83f778434e99604c02c9ae67263f0ead,/ip4/88.217.142.242/tcp/49091
0xd036be7f461937994b075210a87c78e842d937c9,/ip4/88.217.142.242/tcp/49120
0xf7f1f61f8c39b3034e294887e76c6b1ccee2f9e1,/ip4/34.159.20.69/tcp/9012
0xc28ba8bc250c0a43deaa36f94d44ee88abc90fe8,/ip4/167.86.85.169/tcp/9091
0xa6e20d0d75c8b4fd64c738886ee11f1774b25d35,/ip4/65.21.224.248/tcp/9091
0xb0c8c9293c501237654ffdbe0d24ed26434875e9,/ip4/65.109.161.241/tcp/9091
0x7b14cbde09a42c0eab6687ff9b78a50865a43979,/ip4/167.235.71.71/tcp/9091
0x1ade84ae0b346711746a180bc893446711c3ae63,/ip4/88.217.142.242/tcp/49128
0xcdd7117148b6f2975815dd39d99bb9ed4553842b,/ip4/103.152.23.92/tcp/9091
0x96d20376f1a35d54d5b1a90b91283c6e539a2f25,/ip4/195.3.221.186/tcp/9091
0xb816048acb96fa6d004fb2f408c8b0e1c85b8f35,/ip4/199.175.98.43/tcp/9091
0x8b5faec6c4f7735c986d49d7c690b60660822861,/ip4/109.234.37.55/tcp/9491
0x03c16000c18f462bc67d13e8eca3d07e2a6d414f,/ip4/213.55.241.193/tcp/9091
0xd64855d855d4a6cd587ff81055b8abd6842636fa,/ip4/135.181.133.157/tcp/11211
0xe2f997e83017663539535f3c06458c4abcf2a1df,/ip4/134.119.194.149/tcp/9091
0xc469aa95fe34b4441286996137e3d691118e3f79,/ip4/88.217.142.242/tcp/49094
0x1877458695df047d9630b8aec9a966a842ce78cc,/ip4/185.185.82.68/tcp/9091
0xb00c73e6938cf354b0e1ebaf49b470a3d2b2cc06,/ip4/77.222.60.187/tcp/9091
0xa318d2f6962e4d1f3fab56ca400e09cfcc152935,/ip4/34.34.50.142/tcp/9091
0x7ba9249918e6f25db1b64e0051dc8ce75668138e,/ip4/149.51.211.234/tcp/9091
0x95ef76776ef97a48d6a5ca90bcaf96e81b46b019,/ip4/185.190.140.247/tcp/9091
0x4d36417852c06212019459916d908502a67269ab,/ip4/198.135.52.123/tcp/9091
0xc3ba6138af9e34f2881fff8f8e4731752ed1fd16,
0x8c74398ed34fa876aa0aca7e4bef44ab681ea0c4,/ip4/198.135.53.11/tcp/9091
0xff7fa7891150898e8d8ea4b6cbf5d6ce5688e439,/ip4/88.217.142.242/tcp/49095
0xc5d648fb8f183685a2886bf2f35c372eddd7d338,/ip4/161.97.65.206/tcp/9091
0xc75e21ad06dbc0d1522c982a885afb529b03ed7a,/ip4/103.152.23.94/tcp/9091
0xf3bb86e7f0fbefc45d86da1125211383536fa1e2,/ip4/178.116.92.85/tcp/9091
0x2e1de80396eb3247f40aaf2fbabc7c28e7a92efe,/ip4/88.217.142.242/tcp/49110
0xc4779033fad0c5f1a97c0b2d2fd3c0529548c6b2,/ip4/85.127.62.113/tcp/9091
0x75290dd22be7084e2fa2ab500d13d1047974dd1d,/ip4/24.111.99.226/tcp/9091
0x5a5bf3d3ce59cd304f198b86c1a78adfadf31f83,/ip4/35.242.216.67/tcp/9009
0xa826aa4d5c9091579cd04ff6593fdb52d729ed23,
0x6414959b749680e75677df714988cfb7c976079e,/ip4/202.61.198.245/tcp/9091
0x3f3af1a7d9a653f8170fef1b69064b00f778a034,/ip4/85.59.152.72/tcp/9091
0x403044172c35a32e0c7f7c79c15e755d0d078945,/ip4/90.91.139.121/tcp/9091
0xf0a9442f30768627a7ba82bf80d826dc6f155f97,/ip4/136.244.110.85/tcp/9091
0xc4d2c37e194383dcc18ce7edab9f6d9ff14258f3,/ip4/135.181.42.77/tcp/9091
0xd60cd3df032e70d900f2e66aa8a437b70a511a88,/ip4/90.91.139.121/tcp/9091
0xd6e99a84fceaaf0b477a7ebc2b6e48fd47108946,/ip4/31.165.78.146/tcp/9091
0xaf838afdcdbc0e2b26001aa5b8fd89ec6249ab8f,/ip4/88.173.239.217/tcp/9091
0x2168fcd793a3967fa4bdd66f534c4fc811124439,/ip4/144.76.30.235/tcp/9091
0x18ef4009b1e49af8dbffdda61ee5c4849b8a4f7f,/ip4/82.66.176.243/tcp/9091
0x101821f3f0dd8e20d2a922e4d13c35670fc7ff38,/ip4/80.31.232.59/tcp/9091
0xca8ded69254dcadc4c3292f0a2bf2c4d5c491b2e,/ip4/51.154.16.211/tcp/9091
0x6fac4908520e79b62c83b0524a7968cdb8c2b1ff,/ip4/173.249.13.193/tcp/9391
0x7f7237f16f04391e149fd04b2ebfb8759c6732ef,/ip4/88.217.142.242/tcp/49115
0xe24377e2c964cfe541c578ed22dc6147935b79be,/ip4/5.75.250.233/tcp/9091
0x9a03ca94efcbe9fe2e9c5a2a18af71606e773dba,/ip4/38.242.147.167/tcp/9091
0x14461a04501ad573680ebbc8598fa21f8a78c55a,
0x789a585f577ebcc431591d221d6a7781b6e93d77,/ip4/149.51.211.231/tcp/9091
0x81ad8e1242440b098df19bb5f0ec777566bc16bc,/ip4/128.140.52.15/tcp/9091
0x1abe6e4d0f1958f136bf54c30ae8bc393d7ec9f5,/ip4/173.249.54.147/tcp/9091
0x75cab9d4cbc2dc3bde3cded057668c36a07aa930,/ip4/185.124.64.210/tcp/9091
0x1ee204fab4a37a6c35a7b4edb37deb63aef3d342,/ip4/173.249.26.227/tcp/9091
0x2a820af8700de47beb305b5d1fe890a14bf94d8e,/ip4/199.175.98.50/tcp/9091
0x0350bb415e8c095ca41b286113333995ec7cbf8e,/ip4/173.249.42.137/tcp/9091
0x5c4d9d15aa67a7a06e595d006e4667bd140acb66,/ip4/199.175.98.17/tcp/9091
0x3270e49da4af2c01c6884cf0c09bbdee11831173,/ip4/176.126.113.239/tcp/9999
0xb8cd81bb7edd36c1240a2c51cadbbbf9b7e73edd,/ip4/34.159.20.69/tcp/9005
0x0b92572190ba73a99705b42256d1421365df8c85,/ip4/198.135.53.82/tcp/9091
0x10b31446016c83cb4f0a19e0de7d541c62857d10,/ip4/116.203.150.54/tcp/9091
0x746fe02fa6ae948d5dfcb458158ee6915b552feb,/ip4/135.181.222.180/tcp/9091
0xa18e9147ef1b60720cac2e2e0f7b758017f4dac4,/ip4/198.71.48.38/tcp/9091
0x02683d5a0526e2836e72bf689fd100eb9f8453b2,/ip4/78.47.226.130/tcp/9091
0xba1ecd960def530f38e38d805c4f1770a7bbd402,/ip4/34.91.95.97/tcp/9091
0xc45e39d2f2bb5e37afb296482ca5f07448fdbe3f,/ip4/65.108.89.173/tcp/9091
0x0cdf2b1dc32a1c663eae92b358d01cd01ea76c6c,/ip4/128.140.80.1/tcp/9091
0x6d351f7027a80ede4ea4555e8dba533ac72ea7db,/ip4/185.125.203.179/tcp/9091
